"Property Key","Property Value(s)","Multiplicity","Features","Feature Group"
"1#Key:pronunciation:1#Language For Phoneme","String","[0..*]","","Has Phoneme"
"1#Lanes:1#Transportation And Purpose Mode:0#Direction For Lane","no;yes","[0..1]","","Has Lane Restriction"
"1#Lanes:1#Transportation And Purpose Mode:reversible","no;yes","[0..1]","","Has Lane Restriction"
"3d_polygon","String","[0..1]",";;",""
"4wd","yes","[0..1]","Trailhead",""
"ISO3166-1","String","[0..1]","Administrative Area",""
"ISO3166-1:alpha2","String","[0..1]","Administrative Area",""
"ISO3166-1:alpha3","String","[0..1]","Administrative Area",""
"ISO3166-1:numeric","String","[0..1]","Administrative Area",""
"ISO3166-2","String","[0..1]","Administrative Area",""
"abbr_name:0#Side:0#Language","String","[0..1]","","Has Abbreviated Name"
"absolute_height","Float","[1..1]","Elevation Node",""
"access((deprecated)","customers;private;yes","[0..1]","Charging Location;Fuel Station",""
"access","private","[0..1]","Marina",""
"access:0#Direction:0#Conditional","agricultural;customers;delivery;designated;destination;discouraged;employees;forestry;members;military;no;no_through;permissive;permit;private;residents;students;yes","[0..*]","",""
"addr:1#Address Component:0#Language","String","[0..1]","","Has Address"
"addr:unit:list:0#Language","String","[0..*]","","Has Address"
"addr:unit:range:0#Language","String","[0..1]","","Has Address"
"addr:unit:type:0#Language","String","[0..1]","","Has Address"
"admin_level","Integer","[1..1]","Administrative Area",""
"aerodrome:type","airfield;military;private;public","[0..1]","Airport",""
"alt_category","String","[0..*]","","Has Alternative Category"
"alt_municipality_code","String","[0..1]","",""
"alt_municipality_code:identity:1#Language","String","[0..*]","",""
"alt_name","String","[0..*]","Built-Up Area Sign",""
"alt_name:0#Language:signed((deprecated)","no;yes","[0..1]","Motorway Junction (deprecated)",""
"alt_name:0#Side:0#Language","String","[0..*]","","Has Alternate Name"
"ambiguous:1#Row And Cell","yes","[0..1]","","Has Signpost Destination Info"
"attraction","arch;bridge;building;dam;grave;mausoleum;natural;statue;tower;tunnel;water_hole","[0..1]","Tourist Attraction",""
"atv","yes","[0..1]","Trailhead",""
"authentication:rfid","yes","[0..1]","Charging Equipment",""
"authentication:token_group","yes","[0..1]","Charging Equipment",""
"barrier","fence;guardrail;undefined_barrier","[0..1]","",""
"beauty","cosmetics;nails;tanning","[0..*]","Beauty Shop",""
"bicycle((deprecated)","no;yes","[0..1]","","Has Other Signpost Info"
"border_crossing","2;4","[0..1]","",""
"border_crossing_info","String","[0..*]","",""
"border_crossing_info","String","[2..*]","",""
"border_sequence","Integer","[1..1]","",""
"border_side","left;right","[1..1]","",""
"border_value","dashed;dashed_solid;double_dashed;double_solid;road_border;solid;solid_dashed;virtual","[1..1]","Display Lane Border",""
"brand:0#Language","String","[0..*]","","Has Brand Info"
"brand:scope","global;local;regional","[0..1]","","Has Brand Info"
"brand:wikidata","String","[0..*]","","Has Brand Info"
"brand_access","String","[0..*]","Charging Location",""
"bridge","yes","[0..1]","","Has Bridge"
"building:levels","Integer","[0..1]","","Has Building Properties"
"building:min_level","Integer","[0..1]","","Has Building Properties"
"building_group","education;healthcare;leisure;parking;shopping;transport","[0..1]","Building Footprint",""
"bus","no;yes","[0..1]","Parking Facility",""
"bus","yes","[0..1]","","Has Public Transport Means"
"bus:0#Conditional","no;yes","[0..*]","","Has Access Restriction Info For Car Shuttle Train Route"
"cancellation:1#Transportation Mode:0#Conditional","yes","[0..1]","End Of All Restrictions Sign",""
"cannabis:medical","no;yes","[0..1]","Cannabis Shop",""
"cannabis:recreational","no;yes","[0..1]","Cannabis Shop",""
"capacity","Integer","[0..1]","","Has Capacity"
"capital","10;11;3;4;5;6;7;8;9;yes","[0..1]","Place Point",""
"car_repair","yes","[0..1]","","Has Services And Facilities"
"caravans","yes","[0..1]","","Has Services And Facilities"
"carpool","yes","[0..1]","Parking Facility",""
"castle_type","String","[0..1]","Castle",""
"census_area_type","Integer","[1..1]","",""
"census_area_type:identity:1#Language","String","[1..*]","",""
"census_code","String","[0..1]","",""
"census_description:1#Language","String","[1..1]","",""
"charge:0#Payment Method:0#Transportation And Purpose Mode For Toll Charge:0#Conditional","String","[1..*]","Toll Charge For Path",""
"charging_preferences","yes","[0..1]","Charging Equipment",""
"charging_when_closed","yes","[0..1]","Charging Location",""
"cid","String","[1..1]","",""
"city_limit","end","[0..1]","Built-Up Area Sign",""
"city_limit_with_maxspeed","yes","[0..1]","Built-Up Area Sign",""
"class","String","[1..1]","",""
"clothes","ceremonial;children;fashion;fur;men;oversize;speciality;sports;suits;traditional;underwear;wedding;women;workwear","[0..*]","","Has Clothing Type"
"coach((deprecated)","yes","[0..1]","","Has Public Transport Means"
"cocktails","yes","[0..1]","Bar",""
"colour:arrow","String","[0..1]","","Has Signpost Color Info"
"colour:back","String","[0..1]","","Has Signpost Color Info"
"colour:text","String","[0..1]","","Has Signpost Color Info"
"commercial_vehicle","bus;hgv;light_truck;private_bus;rideshare;taxi","[0..6]","Administrative Area",""
"company","aerospace;airline;automobile;bridge_tunnel_operations;bus;bus_rentals;car_rental;cleaning;computer_and_data_services;construction;distribution;electrical;electronics;engineering;funeral_services;healthcare;logistics;mechanical_engineering;mining;publisher;real_estate;school_bus;service;taxi_limousine_and_shuttle_service;transport","[0..1]","Company",""
"confidence:feature","Float","[0..1]","","Has Confidence"
"confidence:member:1#Member Role","Float","[0..1]","","Has Confidence"
"confidence:property:1#Key","Float","[0..1]","","Has Confidence"
"confidence_existence","Float","[0..1]","","Has Traffic Sign Confidence"
"connectivity","String","[1..1]","Lane Connectivity",""
"construction","yes","[0..1]","Building Footprint",""
"construction","minor;yes","[0..1]","",""
"controlled_access","connection;entrance_exit;yes","[0..1]","","Has Controlled Access"
"covered","String","[0..1]","Bicycle Parking",""
"crop","String","[0..1]","Farmland",""
"cuisine","String","[0..*]","Restaurant",""
"curvature:linear","String","[0..*]","","Has Curvature On Road"
"curvature_at_junction","Integer","[1..1]","",""
"data_size_index","Integer","[0..1]","","Has Data Size Index"
"daylight_period","Time","[0..*]","","Has Time Zone And Daylight Saving Time"
"default_driving_priority","priority_to_left;priority_to_right","[0..1]","",""
"default_language","String","[0..1]","","Has Default Language"
"denomination","String","[0..1]","Place Of Worship",""
"destination:0#Destination Type:0#To:0#Language:0#Row And Cell","String","[1..1]","","Has Signpost Destination Info"
"destination:0#To:0#Language:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Destination Info On Road Line (deprecated)"
"destination:0#To:0#Language:0#Row And Cell","String","[0..*]","","Has Signpost Destination Info"
"destination:arrow:0#To((deprecated)","String","[0..*]","","Has Signpost Arrow Info (deprecated)"
"destination:arrow:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Arrow Info On Road Line (deprecated)"
"destination:arrow:ref((deprecated)","String","[0..*]","","Has Signpost Arrow Info (deprecated)"
"destination:arrow:ref:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Arrow Info On Road Line (deprecated)"
"destination:colour:0#To((deprecated)","String","[0..*]","","Has Signpost Color Info"
"destination:colour:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Color Info On Road Line (deprecated)"
"destination:colour:arrow((deprecated)","String","[0..*]","","Has Signpost Color Info"
"destination:colour:arrow:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Color Info On Road Line (deprecated)"
"destination:colour:ref:0#To((deprecated)","String","[0..*]","","Has Signpost Color Info"
"destination:colour:ref:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Color Info On Road Line (deprecated)"
"destination:colour:text((deprecated)","String","[0..*]","","Has Signpost Color Info"
"destination:colour:text:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Color Info On Road Line (deprecated)"
"destination:country:0#To","String","[0..*]","","Has Signpost Destination Info"
"destination:country:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Destination Info On Road Line (deprecated)"
"destination:distance:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Other Signpost Info On Road Line (deprecated)"
"destination:loc_ref","String","[0..*]","","Has Signpost Destination InfoHas Signpost Destination Info On Road Line (deprecated)"
"destination:network:0#To((deprecated)","String","[0..*]","","Has Signpost Destination Info"
"destination:network:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Destination Info On Road Line (deprecated)"
"destination:other:1#Language:1#Row And Cell","String","[0..1]","","Has Signpost Destination Info"
"destination:ref:0#To:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Destination Info On Road Line (deprecated)"
"destination:ref:0#To:0#Language:0#Row And Cell","String","[0..*]","","Has Signpost Destination Info"
"destination:ref_name:0#To:1#Language:1#Row And Cell","String","[0..1]","","Has Signpost Destination Info"
"destination:street:0#To:0#Language:0#Lanes:0#Direction((deprecated)","String","[0..*]","","Has Signpost Destination Info On Road Line (deprecated)"
