"Feature Name","Definition Tag","Geometry","Feature Group Hierarchies"
"ATM","amenity=atm","Area;Point","Finance → Location Of Interest → All Features;Finance → Location Of Interest → Feature With Optional Road Access"
"ATV Dealer","shop=atv","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
"Abandoned Railway","railway=abandoned","Line","Other Railway Line → Railway Line → Transportation Line → All Features"
"Aboriginal Land","boundary=aboriginal_lands","Boundary Polygon;Point;Simple Polygon","Protected Land → Location Of Interest → All Features;Protected Land → Location Of Interest → Feature With Optional Road Access"
"Accountant Office","office=accountant","Area;Point","Business → Location Of Interest → All Features;Business → Location Of Interest → Feature With Optional Road Access"
"Address Point","address_point=building;address_point=land_parcel;address_point=map_location;address_point=sub_address","Point","All Features;Feature With Optional Road Access"
"Administrative Area","boundary=administrative","Boundary Polygon","Named Place → All Features"
"Administrative Boundary","boundary=administrative","Line","All Features"
"Adult Gaming Center","leisure=adult_gaming_centre","Area;Point","Leisure → Location Of Interest → All Features;Leisure → Location Of Interest → Feature With Optional Road Access"
"Advertising Agency Office","office=advertising_agency","Area;Point","Business → Location Of Interest → All Features;Business → Location Of Interest → Feature With Optional Road Access"
"Aerialway Station","aerialway=station","Area;Point","Transport → Location Of Interest → All Features;Transport → Location Of Interest → Feature With Optional Road Access"
"Agrarian","shop=agrarian","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
"Agricultural Engines","craft=agricultural_engines","Area;Point","Business → Location Of Interest → All Features;Business → Location Of Interest → Feature With Optional Road Access"
"Airport","aeroway=aerodrome","Area;Point","Transport → Location Of Interest → All Features;Transport → Location Of Interest → Feature With Optional Road Access"
"Airport Runway","aeroway=runway","Area;Line;Point","Artificial Ground → Location Of Interest → All Features;Artificial Ground → Location Of Interest → Feature With Optional Road Access"
"Alcohol Shop","shop=alcohol","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
"Allotments","landuse=allotments","Area;Point","Managed Green → Location Of Interest → All Features;Managed Green → Location Of Interest → Feature With Optional Road Access"
"Alpine Hut","tourism=alpine_hut","Area;Point","Lodging → Location Of Interest → All Features;Lodging → Location Of Interest → Feature With Optional Road Access"
"Alternate Address","type=alternate_address","","Complex Feature → All Features"
"Alternative Healthcare","healthcare=alternative","Area;Point","Healthcare → Location Of Interest → All Features;Healthcare → Location Of Interest → Feature With Optional Road Access"
"Ambulance Station","emergency=ambulance_station","Area;Point","Emergency Services → Location Of Interest → All Features;Emergency Services → Location Of Interest → Feature With Optional Road Access"
"Amusement Arcade","leisure=amusement_arcade","Area;Point","Leisure → Location Of Interest → All Features;Leisure → Location Of Interest → Feature With Optional Road Access"
"Animal Boarding","amenity=animal_boarding","Area;Point","Business → Location Of Interest → All Features;Business → Location Of Interest → Feature With Optional Road Access"
"Animal Breeding","amenity=animal_breeding","Area;Point","Business → Location Of Interest → All Features;Business → Location Of Interest → Feature With Optional Road Access"
"Animal Shelter","amenity=animal_shelter","Area;Point","Government And Public Services → Location Of Interest → All Features;Government And Public Services → Location Of Interest → Feature With Optional Road Access"
"Anime Shop","shop=anime","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
"Antiques","shop=antiques","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
"Apartment","tourism=apartment","Area;Point","Lodging → Location Of Interest → All Features;Lodging → Location Of Interest → Feature With Optional Road Access"
"Appliances Store","shop=appliance","Area;Point","Shopping And Consumer Services → Location Of Interest → All Features;Shopping And Consumer Services → Location Of Interest → Feature With Optional Road Access"
